bmi,sex,age,quantile,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
25-30,T,TOTAL,QU5,31.7,37.3,35.1,37.1,31.8,39.4,35.6,:,33.8,40.2,33.9,40.2,34.8,36.3,44.7,39.5,35.5,35.8
25-30,T,TOTAL,TOTAL,33.5,39.3,38.3,36.3,32.5,38.7,37.3,31.4,35.7,38,34.9,36.8,36.5,37.6,42.4,39.8,35.6,34.4
25-30,T,TOTAL,UNK,32.7,32.1,39,33.5,32.3,39.5,36.7,31.4,30.2,:,32.1,34.3,:,37.5,37.1,37.9,33.9,25.2
25-30,T,Y18-44,QU1,26.3,29,29.6,24.2,20,30.2,31.6,:,23.8,21.8,27.2,26.4,25.7,27.3,36.1,34.4,22.3,28.2
25-30,T,Y18-44,QU2,21.3,34.7,22.4,35.2,19.2,28.9,31.4,:,33.7,33.9,28,32.0,27.3,31.4,34.6,25.7,25.7,30.2
25-30,T,Y18-44,QU3,28.6,37.2,33.7,32.6,23.7,27.4,33.9,:,27.6,30.7,29.9,37.1,31.6,31.2,30.9,38.9,28.6,31.1
25-30,T,Y18-44,QU4,29.6,27.6,27.9,32.1,25.1,32,30.5,:,30.2,32.8,25.4,28.1,28.1,31.1,34.1,34,29,30.7
25-30,T,Y18-44,QU5,26.8,27.8,28.2,30.6,28.2,26.7,27.4,:,25.4,34.7,27.3,31.7,27.3,30.3,33.7,33.7,28.2,31
25-30,T,Y18-44,TOTAL,26.3,29.3,29.7,29.2,26.2,30,30.8,24.2,28.6,31.7,27.7,31.1,28,30.6,34.8,33.2,27.2,30.1
25-30,T,Y18-44,UNK,24.2,23.2,32.8,24.3,26.9,30.8,29.6,24.2,23.1,:,28.3,28.9,:,30.3,29.8,32.8,23.5,20.2
25-30,T,Y45-54,QU1,26.6,45,:,33.4,38.1,34.8,38.1,:,30.9,30.4,22.9,46.7,40.1,35,50.4,50.3,39.4,39.1
25-30,T,Y45-54,QU2,24.2,38.2,:,33.4,34.2,26.4,42.5,:,37.3,38,43.6,47.2,42.7,40.4,54.2,41.1,42.8,43.7
25-30,T,Y45-54,QU3,34.2,48.7,46.8,40.2,34.2,40.6,39.1,:,45.2,44.2,48.4,37.7,41.3,42.2,48.3,41.7,43.2,46.2
25-30,T,Y45-54,QU4,42.9,48.8,58.1,41.3,34.3,52.3,39.6,:,37.6,45.8,30.1,45.2,43.9,45.2,65.3,50.4,40.1,44.2
25-30,T,Y45-54,QU5,36,48.4,44.3,39,38.2,59.5,43.1,:,42.2,:,39.1,45.5,41.6,43.4,:,47.3,48.3,44.6
25-30,T,Y45-54,TOTAL,35.7,47.1,46.5,38,37,43.5,41.1,35.2,40.4,42.4,37.6,43.4,42,42.7,52.2,45.4,43.7,43.6
25-30,T,Y45-54,UNK,34.9,43.8,48.4,37.6,43.1,40.3,42.7,35.2,41.7,:,40.9,41.9,:,43.8,52.6,44.2,49.9,32.6
25-30,T,Y55-64,QU1,24.1,44.7,53.0,37.6,32.7,48.1,39.6,:,37.6,35.8,35.1,28.8,38.9,35.3,51.8,40.5,30.1,38.0
25-30,T,Y55-64,QU2,33.7,52.9,48.7,39.4,46.3,49.7,42.5,:,45.9,40.1,40,39.5,42.4,42.9,55.8,38.5,40.5,47.7
25-30,T,Y55-64,QU3,37.3,47.3,44.4,42.9,33.9,55.8,46,:,51.2,48.4,50.1,51.6,48.4,44.3,52.5,56.3,47.2,44.4
25-30,T,Y55-64,QU4,42.3,45.5,42,43.6,35.3,38.6,48.2,:,54.8,43,44.4,34,46.1,47.4,:,48.0,53.7,35
